Product,Net Sales 2025,Net Sales 2026,Growth %,Change,Expire % 2025,Expire % 2026
Uniflox,82317.01000000001,72266.85,-0.12209092628607383,-10050.160000000003,0.00015592198611972673,0.036758256876919373
Ruatine,238978.66,270900.49000000005,0.13357606909336608,31921.830000000045,0.12736139918738157,0.03229984175007934
Unicast 10 mg,89098.90999999997,80639.06,-0.09494897300090405,-8459.849999999977,0.010909992561368749,0.020748987854251024
Olaxy,39716.26,66606.90000000001,0.6770687874437322,26890.640000000007,0.06284035262247896,0.03913950228442998
Dinixir,61989.42,99474.79000000001,0.6047059320767965,37485.37000000001,0.2912914432189986,0.27823036562684184
Hi Dee drops,105208.91999999997,207272.15999999995,0.9701006340527021,102063.23999999998,0.0003407058289088841,0.01950327000934272
