Product,Gross Sales 2025,Expire Returns 2025,Expire % 2025,Gross Sales 2026,Expire Returns 2026,Expire % 2026,Change pp
Uniflox,83952.24000000021,13.09,0.00015592198611972673,82969.92999999948,3049.83,0.036758256876919373,0.03660233489079965
Ruatine,289299.3499999999,36845.57000000001,0.12736139918738157,287816.89000000013,9296.439999999997,0.03229984175007934,-0.09506155743730223
Unicast 10 mg,92839.65999999963,1012.8799999999997,0.010909992561368749,90975.0399999999,1887.6399999999992,0.020748987854251024,0.009838995292882275
Olaxy,43555.929999999855,2737.070000000001,0.06284035262247896,71516.74999999983,2799.130000000001,0.03913950228442998,-0.02370085033804898
Dinixir,97841.69999999975,28500.45000000022,0.2912914432189986,153200.4599999998,42625.020000000295,0.27823036562684184,-0.013061077592156745
Hi Dee drops,107776.26000000174,36.72,0.0003407058289088841,235815.84000000186,4599.179999999998,0.01950327000934272,0.019162564180433838
